sequenceId,ParameterKey,ParameterValue
1_36F,airtime_evenness,-7.385465375755236
1_36F,psy_safe,4.227619047619048
1_37A,expgroup,Feedback
1_37A,repmark,37.57999999999999
1_37A,presmark,19.5
1_37A,teammark,50.57999999999999
1_37A,airtime_evenness,-12.09548303923718
1_37A,psy_safe,4.046666666666667
1_37C,expgroup,Feedback
1_37C,repmark,41.28
1_37C,presmark,20.66666667
1_37C,teammark,55.05777778
1_37C,airtime_evenness,-5.538670503640761
1_37C,psy_safe,4.251428571428572
1_37D,expgroup,Feedback
1_37D,repmark,36.53
1_37D,presmark,26.33333333
1_37D,teammark,54.085555553333336
1_37D,airtime_evenness,-7.963151402742907
1_37D,psy_safe,4.196190476190477
1_38A,expgroup,Reflection
1_38A,repmark,39.89
1_38A,presmark,19.7
1_38A,teammark,53.02333333333333
1_38A,airtime_evenness,-11.617150741557545
1_38A,psy_safe,4.355714285714287
1_38B,expgroup,Reflection
1_38B,repmark,43.06
1_38B,presmark,23.7
1_38B,teammark,58.86000000000001
1_38B,airtime_evenness,-11.129165789282679
1_38B,psy_safe,4.26
1_38C,expgroup,Reflection
1_38C,repmark,41.62
1_38C,presmark,18.7
1_38C,teammark,54.08666666666665
1_38C,airtime_evenness,-12.44541763210248
1_38C,psy_safe,3.6638095238095234
1_38D,expgroup,Reflection
1_38D,repmark,46.56
1_38D,presmark,18.7
1_38D,teammark,59.026666666666664
1_38D,airtime_evenness,-13.966234828165558
1_38D,psy_safe,3.8546571428571426
1_38E,expgroup,Reflection
1_38E,repmark,49.38999999999999
1_38E,presmark,24.0
1_38E,teammark,65.39
1_38E,airtime_evenness,-8.80409587403742
1_38E,psy_safe,4.091428571428571
1_38F,expgroup,Reflection
1_38F,repmark,43.44
1_38F,presmark,20.3
1_38F,teammark,56.973333333333336
1_38F,airtime_evenness,-8.615351825290613
1_38F,psy_safe,4.119047619047619
1_3A,expgroup,Feedback
1_3A,repmark,48.29
1_3A,presmark,20.25
1_3A,teammark,61.79
1_3A,airtime_evenness,-11.896529916365903
1_3A,psy_safe,3.747619047619048
1_3B,expgroup,Feedback
1_3B,repmark,50.69
1_3B,presmark,17.75
1_3B,teammark,62.52333333333333
1_3B,airtime_evenness,-10.818103019110971
