sequenceId,ParameterKey,ParameterValue
2_18E,teammark,68.211111112
2_18E,airtime_evenness,-9.461791576173862
2_18E,psy_safe,4.497142857142857
2_18F,expgroup,Reflection
2_18F,repmark,61.4
2_18F,presmark,70.83333333
2_18F,teammark,75.566666666
2_18F,airtime_evenness,-8.923253515639008
2_18F,psy_safe,4.045714285714285
2_18G,expgroup,Reflection
2_18G,repmark,52.4
2_18G,presmark,73.88888889
2_18G,teammark,67.177777778
2_18G,airtime_evenness,-12.411565939694363
2_18G,psy_safe,4.685714285714285
2_19A,expgroup,Feedback
2_19A,repmark,55.4
2_19A,presmark,68.05555556
2_19A,teammark,69.011111112
2_19A,airtime_evenness,-11.092460511391861
2_19A,psy_safe,4.261428571428572
2_19B,expgroup,Feedback
2_19B,repmark,55.4
2_19B,presmark,58.82352941
2_19B,teammark,67.164705882
2_19B,airtime_evenness,-8.941067133212895
2_19B,psy_safe,4.120952380952382
2_19C,expgroup,Feedback
2_19C,repmark,50.6
2_19C,presmark,65.14285714
2_19C,teammark,63.628571428
2_19C,airtime_evenness,-7.274282626487717
2_19C,psy_safe,4.217142857142858
2_19D,expgroup,Feedback
2_19D,repmark,50.0
2_19D,presmark,72.77777778
2_19D,teammark,64.555555556
2_19D,airtime_evenness,-15.054622105876314
2_19D,psy_safe,4.171428571428573
2_19E,expgroup,Feedback
2_19E,repmark,42.8
2_19E,presmark,66.57142857
2_19E,teammark,56.11428571399999
2_19E,airtime_evenness,-14.886751850249135
2_19E,psy_safe,4.66
2_19F,expgroup,Feedback
2_19F,repmark,51.2
2_19F,presmark,73.14285714
2_19F,teammark,65.828571428
2_19F,airtime_evenness,-15.45496712043907
2_19F,psy_safe,4.207142857142857
2_19G,expgroup,Feedback
2_19G,repmark,50.0
2_19G,presmark,67.14285714
2_19G,teammark,63.428571428
2_19G,airtime_evenness,-10.865156109350137
2_19G,psy_safe,4.211428571428572
2_21A,expgroup,Control
2_21A,repmark,46.4
2_21A,presmark,57.714285710000006
2_21A,teammark,57.942857142
2_21A,airtime_evenness,-10.402822695251185
2_21A,psy_safe,4.219047619047619
2_21B,expgroup,Control
2_21B,repmark,64.4
2_21B,presmark,75.0
2_21B,teammark,79.4
2_21B,airtime_evenness,-11.03683163555451
2_21B,psy_safe,3.907142857142857
2_21C,expgroup,Control
2_21C,repmark,62.6
2_21C,presmark,68.85714286
2_21C,teammark,76.371428572
2_21C,airtime_evenness,-21.33904637265694
2_21C,psy_safe,4.2785714285714285
2_21D,expgroup,Control
2_21D,repmark,50.0
2_21D,presmark,76.57142857
2_21D,teammark,65.314285714
2_21D,airtime_evenness,-10.437222893404636
2_21D,psy_safe,4.512857142857143
2_21E,expgroup,Control
2_21E,repmark,59.0
2_21E,presmark,75.42857143
2_21E,teammark,74.085714286
2_21E,airtime_evenness,-10.441392132763378
2_21E,psy_safe,4.667142857142858
2_21F,expgroup,Control
2_21F,repmark,47.4
2_21F,presmark,71.71428571
2_21F,teammark,61.742857142000005
2_21F,airtime_evenness,-11.438325893606303
2_21F,psy_safe,4.4628571428571435
2_21G,expgroup,Control
2_21G,repmark,49.4
2_21G,presmark,60.57142857
2_21G,teammark,61.514285713999996
2_21G,airtime_evenness,-8.09859928408012
2_21G,psy_safe,4.275714285714287
2_22A,expgroup,Reflection
2_22A,repmark,40.4
2_22A,presmark,81.11111111000001
2_22A,teammark,56.622222222
2_22A,airtime_evenness,-11.926749999025155
2_22A,psy_safe,4.557142857142858
2_22B,expgroup,Reflection
2_22B,repmark,56.0
2_22B,presmark,53.78378378
2_22B,teammark,66.756756756
2_22B,airtime_evenness,-12.517411675790846
2_22B,psy_safe,4.274285714285715
2_22C,expgroup,Reflection
2_22C,repmark,49.4
2_22C,presmark,69.45945946
2_22C,teammark,63.291891892
2_22C,airtime_evenness,-10.251064121847854
2_22C,psy_safe,4.182857142857143
2_22D,expgroup,Reflection
2_22D,repmark,56.0
2_22D,presmark,72.43243243
2_22D,teammark,70.486486486
2_22D,airtime_evenness,-8.696763192651575
2_22D,psy_safe,4.502857142857143
2_22E,expgroup,Reflection
2_22E,repmark,56.6
2_22E,presmark,56.21621622
2_22E,teammark,67.843243244
2_22E,airtime_evenness,-8.255822954204813
2_22E,psy_safe,4.251428571428572
2_22F,expgroup,Reflection
2_22F,repmark,48.2
2_22F,presmark,58.918918919999996
2_22F,teammark,59.983783784
2_22F,airtime_evenness,-7.281697695777697
2_22F,psy_safe,4.057142857142857
2_22G,expgroup,Reflection
2_22G,repmark,50.6
2_22G,presmark,53.78378378
2_22G,teammark,61.356756756
2_22G,airtime_evenness,-5.332402794546786
2_22G,psy_safe,4.478571428571429
2_23B,expgroup,Feedback
2_23B,repmark,55.4
2_23B,presmark,67.14285714
2_23B,teammark,68.82857142800002
2_23B,airtime_evenness,-9.914006193533414
2_23B,psy_safe,4.614285714285715
2_23C,expgroup,Feedback
2_23C,repmark,64.4
2_23C,presmark,83.61111111
2_23C,teammark,81.122222222
2_23C,airtime_evenness,-7.742558571116421
2_23C,psy_safe,4.445714285714286
2_23D,expgroup,Feedback
2_23D,repmark,43.4
2_23D,presmark,68.10810811
2_23D,teammark,57.021621622
2_23D,airtime_evenness,-12.6401068539644
2_23D,psy_safe,4.145714285714286
2_23E,expgroup,Feedback
2_23E,repmark,50.6
2_23E,presmark,75.27777778
2_23E,teammark,65.655555556
2_23E,airtime_evenness,-13.572621777493667
2_23E,psy_safe,4.279999999999999
2_23F,expgroup,Feedback
2_23F,repmark,45.2
2_23F,presmark,54.44444444
